product_id,total_facturado,n_ventas,cantidad_total_vendida,n_clientes_unicos,n_devoluciones
273,696.78,2,63,2,1
274,1484.90,4,155,4,3
275,335.86,1,14,1,0
276,437.58,1,39,1,0
277,597.74,3,26,3,2
278,834.24,4,66,4,3
279,659.56,1,44,1,1
282,3840.00,4,128,4,2
283,2049.18,2,82,2,1
284,2996.00,3,107,3,2
285,594.66,1,17,1,0
286,2974.14,2,93,2,0
288,1998.00,1,37,1,1
289,455.62,1,38,1,0
290,2088.00,2,58,2,0
291,504.96,2,24,2,0
292,2778.61,4,139,4,1
293,1082.25,4,111,4,0
294,999.63,3,87,3,1
296,1498.50,2,50,2,0
297,971.46,2,54,2,1
298,774.00,2,36,2,1
299,1350.00,1,50,1,0
300,9120.00,3,32,3,1
304,2337.92,2,64,2,2
305,1699.50,2,50,2,0
306,689.85,1,15,1,0
307,279.80,1,20,1,0
308,359.50,1,10,1,0
309,1023.36,2,64,2,1
310,779.00,2,82,2,1
311,269.82,1,9,1,0
312,200.00,1,8,1,0
313,2025.00,3,81,3,1
314,4290.00,3,39,3,1
315,1427.16,1,42,1,0
317,195.93,2,7,2,0
318,4455.00,3,81,3,0
319,717.34,1,26,1,0
321,1306.24,3,104,3,0
324,2506.48,4,76,4,2
325,773.16,5,68,5,1
326,1791.46,6,187,6,2
327,496.76,1,22,1,0
328,672.29,2,79,2,1
329,1763.37,4,63,4,1
330,658.35,3,77,3,2
331,7918.68,5,132,5,2
332,1283.66,3,106,3,0
333,1100.00,1,4,1,0
334,1759.56,1,44,1,1
335,1469.51,2,49,2,0
336,1052.02,1,23,1,1
337,256.91,1,23,1,0
338,1404.00,3,54,3,2
339,2775.00,3,111,3,1
340,3518.90,3,110,3,0
342,4080.00,2,85,2,0
343,4700.50,2,79,2,0
344,521.64,1,18,1,0
345,2170.00,2,62,2,2
346,21.27,1,3,1,0
347,1056.00,1,48,1,0
348,3679.08,5,92,5,2
350,978.50,2,38,2,0
351,459.77,2,23,2,1
353,895.72,2,28,2,1
354,3106.89,6,111,6,0
355,698.75,2,25,2,1
356,3200.00,4,128,4,1
357,1680.84,4,58,4,1
358,1222.30,2,34,2,0
359,308.00,1,28,1,0
360,440.00,1,40,1,1
361,1506.96,3,52,3,1
362,679.66,3,34,3,0
363,1896.00,4,48,4,2
365,7060.93,3,107,3,0
366,260.82,1,21,1,0
367,135.72,1,12,1,0
368,855.20,2,80,2,0
369,13.70,1,2,1,0
371,1896.20,3,76,3,1
373,5244.00,1,38,1,0
374,620.77,1,23,1,1
376,923.34,3,66,3,0
378,919.77,2,23,2,1
379,1217.16,2,42,2,0
380,2023.12,4,88,4,0
381,4341.30,6,174,6,0
383,9180.00,3,102,3,2
384,467.46,2,49,2,0
385,1000.05,2,59,2,0
386,6762.00,2,69,2,1
387,534.36,2,73,2,1
388,3645.72,4,114,4,1
390,3514.50,2,71,2,1
391,3331.99,4,101,4,2
393,3418.29,5,171,5,0
397,1131.00,2,58,2,0
398,1481.62,2,38,2,2
399,3024.00,2,42,2,1
400,679.83,2,17,2,1
401,379.81,1,19,1,0
402,2105.61,1,39,1,0
403,644.82,3,66,3,0
404,601.65,1,45,1,0
405,609.31,2,43,2,0
406,412.40,1,40,1,0
407,2833.38,2,81,2,1
408,531.81,1,19,1,0
409,1247.50,2,50,2,0
410,669.17,2,61,2,2
411,839.16,2,84,2,0
412,2878.00,1,40,1,1
413,1957.11,3,89,3,1
414,199.70,1,10,1,0
415,2475.00,2,99,2,0
416,14378.00,4,91,4,2
417,582.12,2,66,2,0
420,320.32,2,28,2,0
421,3477.26,3,74,3,0
422,94.24,1,8,1,1
423,292.82,1,22,1,1
425,1351.90,3,110,3,0
426,500.00,1,10,1,1
429,2336.33,6,167,6,0
430,156.00,2,8,2,1
432,735.00,1,15,1,0
433,972.00,6,81,6,2
435,399.84,1,16,1,0
436,2275.00,2,35,2,0
437,3085.53,5,147,5,1
439,447.58,2,46,2,0
440,3263.04,4,96,4,2
441,1368.50,2,23,2,0
442,676.50,2,55,2,1
443,1092.00,2,56,2,1
444,1583.52,2,48,2,0
445,950.00,2,38,2,1
446,461.89,1,11,1,0
447,3344.00,1,38,1,0
448,299.40,1,12,1,1
449,439.60,1,40,1,1
450,1550.00,1,31,1,0
451,3120.00,1,48,1,0
452,4251.00,2,78,2,1
453,2880.00,1,48,1,0
454,1259.37,2,63,2,0
455,1379.52,2,48,2,1
456,923.67,1,33,1,0
457,3560.00,3,80,3,1
460,3355.80,3,84,3,2
462,845.50,2,19,2,0
464,206.50,1,7,1,1
465,1770.23,3,77,3,0
466,1178.00,1,38,1,0
467,87.98,1,2,1,0
468,2464.00,2,28,2,0
469,956.71,2,29,2,1
470,55.98,1,2,1,0
471,1103.52,2,48,2,0
472,1945.22,1,38,1,0
473,2530.00,2,46,2,2
474,6103.16,5,142,5,3
475,2264.22,4,126,4,1
476,1209.00,1,31,1,0
477,1665.51,1,49,1,0
478,437.06,2,41,2,1
479,3920.00,1,49,1,0
481,1350.00,3,54,3,1
482,379.81,1,19,1,0
484,936.00,2,52,2,1
486,1671.65,4,67,4,0
487,5670.00,2,63,2,0
488,1980.00,1,40,1,0
489,1382.50,1,35,1,0
490,756.03,4,79,4,1
491,658.35,1,33,1,1
492,325.72,1,34,1,1
493,5243.00,3,49,3,2
494,1287.85,2,43,2,1
495,418.50,3,50,3,0
496,65.40,2,6,2,1
497,1217.79,1,21,1,0
498,4550.00,4,91,4,0
500,1182.63,4,79,4,0
501,299.95,1,5,1,1
502,4725.00,4,135,4,2
503,3575.00,3,55,3,1
504,629.79,1,21,1,1
505,1807.00,4,26,4,1
506,683.70,3,106,3,2
507,1075.86,4,139,4,2
508,1439.40,3,60,3,1
509,615.72,1,28,1,0
510,3799.05,3,95,3,0
511,2418.79,4,121,4,1
512,574.56,2,63,2,1
513,520.20,2,34,2,1
514,1055.52,1,48,1,1
515,2719.32,3,68,3,1
516,3717.00,3,126,3,0
517,14852.00,4,79,4,2
518,7452.87,6,213,6,3
519,700.00,2,50,2,0
520,1651.41,2,59,2,0
521,849.66,1,34,1,0
522,68.97,1,3,1,0
523,833.00,1,49,1,1
525,405.00,1,36,1,0
526,1600.00,4,64,4,0
527,1498.75,1,25,1,0
528,414.80,1,40,1,1
529,5720.00,5,110,5,2
531,2939.02,3,98,3,0
532,3130.92,4,108,4,0
533,1425.54,2,46,2,1
535,1379.31,2,69,2,2
536,150.00,1,6,1,0
537,811.30,3,61,3,1
538,5858.00,3,101,3,0
539,1824.50,1,41,1,0
540,1923.25,2,35,2,1
541,779.61,3,39,3,0
542,1323.00,1,27,1,0
544,7176.00,3,104,3,1
545,1174.53,1,47,1,0
546,1700.00,1,40,1,1
547,7345.00,4,113,4,1
548,746.24,3,64,3,0
549,1925.00,2,77,2,0
550,1128.15,4,109,4,1
551,1716.00,4,78,4,2
552,7546.00,2,77,2,0
553,1599.60,2,40,2,1
554,1782.00,2,36,2,0
555,1664.63,1,37,1,0
556,339.83,2,17,2,0
557,272.02,1,29,1,1
559,719.64,1,36,1,0
560,3009.57,2,43,2,0
562,342.70,2,23,2,1
563,3584.00,2,56,2,0
564,418.00,2,11,2,1
566,778.05,2,39,2,0
567,1959.51,1,49,1,0
568,12483.06,3,111,3,1
569,359.91,1,9,1,0
570,915.45,2,51,2,1
572,2319.85,4,83,4,2
573,1232.00,3,56,3,2
574,1125.00,3,45,3,1
575,1847.58,2,42,2,1
576,213.84,1,24,1,0
577,2160.00,2,45,2,0
578,720.00,1,9,1,0
579,479.76,2,24,2,0
580,1724.25,2,75,2,0
581,1553.63,2,37,2,1
582,1575.00,1,21,1,0
583,586.92,4,67,4,2
584,1000.00,2,50,2,1
585,6136.00,4,118,4,3
586,1287.08,3,92,3,1
588,2276.01,3,99,3,2
590,1172.65,2,47,2,1
591,1077.30,3,27,3,0
592,22.99,1,1,1,1
593,1619.19,3,81,3,1
594,2380.00,2,40,2,1
595,2574.00,3,52,3,1
596,6785.00,3,115,3,0
597,1197.00,3,57,3,1
598,2448.00,1,36,1,0
600,343.40,2,34,2,0
601,689.77,1,23,1,1
602,4838.00,3,82,3,1
603,509.83,1,17,1,0
604,578.88,2,24,2,0
605,3634.00,1,46,1,0
606,2378.00,2,41,2,0
607,777.75,2,61,2,0
608,3114.11,3,89,3,1
610,319.92,1,8,1,1
611,202.47,1,17,1,0
612,1031.55,4,115,4,0
613,2133.00,2,27,2,1
614,239.60,1,8,1,1
615,959.68,1,32,1,1
616,1125.00,1,45,1,0
617,1026.00,2,57,2,0
618,946.00,1,43,1,0
619,4656.00,2,24,2,1
620,5525.00,6,221,6,2
621,1935.00,3,86,3,2
624,4255.90,3,55,3,2
625,1719.57,1,43,1,0
627,741.28,3,82,3,1
628,388.75,5,125,5,2
629,2050.05,2,79,2,0
630,1039.74,2,26,2,1
631,3000.00,4,125,4,2
633,276.64,1,28,1,1
634,1574.65,1,35,1,0
635,247.07,1,31,1,0
638,2628.00,2,73,2,0
640,1039.48,2,52,2,0
642,825.00,3,33,3,1
643,316.00,1,8,1,1
644,178.41,2,19,2,0
645,3811.00,1,37,1,1
646,2036.60,2,68,2,1
647,2040.00,2,85,2,0
648,1152.75,2,29,2,0
649,839.72,2,28,2,0
650,3111.01,2,49,2,1
651,1484.10,1,45,1,0
653,5176.50,3,87,3,1
654,599.60,2,20,2,1
655,93.36,1,8,1,0
656,203.70,1,6,1,1
657,2380.50,2,69,2,0
658,1359.32,2,68,2,1
659,240.00,1,12,1,1
660,4642.25,4,155,4,0
661,224.55,1,15,1,1
662,327.59,1,47,1,1
663,1500.00,2,60,2,1
664,3672.00,2,51,2,0
665,3080.00,3,56,3,2
666,468.00,1,26,1,0
668,29.95,1,1,1,0
669,1708.00,2,61,2,1
671,417.00,2,6,2,0
672,255.60,1,8,1,1
673,2045.90,2,82,2,1
674,3667.65,5,147,5,2
675,550.00,1,22,1,0
677,4627.92,3,88,3,1
678,220.35,1,13,1,0
679,352.80,2,36,2,0
681,943.42,3,86,3,2
682,6474.00,2,83,2,0
683,3840.00,3,80,3,0
684,1119.60,1,40,1,0
685,1459.27,3,73,3,0
686,374.25,2,25,2,0
687,29.50,1,1,1,1
688,2473.35,1,33,1,1
689,1583.56,3,44,3,3
690,7361.28,2,71,2,1
691,1257.26,2,74,2,1
693,2054.00,3,79,3,0
694,5332.00,4,86,4,1
695,3286.00,3,53,3,1
696,2439.50,2,41,2,0
697,2227.32,3,92,3,1
698,1886.85,3,63,3,0
699,1548.76,4,62,4,2
700,809.46,2,54,2,0
701,1482.00,2,39,2,1
702,1802.58,2,39,2,2
703,670.24,2,59,2,1
707,1472.00,2,46,2,1
708,2750.00,4,110,4,2
709,386.76,1,44,1,0
710,5191.00,3,58,3,0
712,254.83,1,17,1,0
713,2374.92,3,108,3,2
714,2595.50,2,29,2,1
715,2249.25,3,75,3,1
716,850.00,1,34,1,0
718,105.60,1,1,1,0
721,1120.00,2,40,2,2
722,1065.00,1,15,1,0
723,1679.72,1,28,1,1
724,6340.49,5,151,5,2
726,874.65,1,35,1,1
727,2444.00,1,47,1,0
728,1206.29,3,71,3,1
729,3192.21,4,81,4,1
730,1396.50,3,57,3,0
731,8120.00,5,140,5,1
732,748.80,4,52,4,1
733,560.50,2,38,2,1
734,2219.26,2,74,2,0
735,105.00,1,7,1,0
736,1679.16,3,84,3,2
737,3161.00,4,109,4,0
738,1099.45,4,55,4,2
739,696.59,2,41,2,1
740,935.30,3,47,3,0
742,1679.44,3,56,3,1
744,237.30,1,30,1,0
745,1330.00,5,133,5,3
746,2326.50,1,47,1,0
747,330.89,1,29,1,0
748,2030.73,4,127,4,2
749,1109.63,1,37,1,1
750,556.38,3,66,3,0
751,880.00,1,10,1,0
752,1275.00,2,51,2,1
754,1671.24,3,76,3,1
755,1215.90,2,42,2,0
756,1749.50,2,50,2,0
758,219.89,1,11,1,0
760,4099.18,3,82,3,0
761,1799.10,3,90,3,1
762,565.44,4,57,4,1
763,1610.25,3,95,3,1
764,1557.50,3,89,3,1
765,376.56,1,36,1,0
766,2211.21,4,79,4,2
767,2482.00,2,34,2,2
768,1050.00,1,42,1,0
769,3182.00,3,74,3,1
770,700.00,1,40,1,0
773,1511.25,1,39,1,0
774,1516.20,2,76,2,1
775,390.00,1,5,1,0
776,1484.45,2,55,2,2
777,2729.22,2,78,2,1
778,552.00,1,23,1,1
780,1097.80,2,44,2,0
781,3300.00,2,66,2,0
783,1094.50,1,11,1,0
785,5984.00,1,17,1,0
786,22446.00,2,87,2,0
787,2079.00,1,7,1,0
788,5669.37,4,63,4,0
789,1691.00,2,19,2,1
790,1975.00,2,25,2,0
791,6138.00,2,62,2,0
792,8400.00,1,50,1,0
793,2380.95,2,37,2,0
794,1326.00,1,17,1,0
795,3916.00,1,44,1,0
796,1849.26,4,74,4,1
797,12136.00,3,82,3,0
798,3186.00,2,54,2,1
799,24640.00,2,77,2,0
800,1936.00,1,22,1,1
801,1379.00,1,14,1,0
802,9306.00,5,94,5,1
803,984.50,1,11,1,1
804,623.00,1,7,1,1
806,3168.00,2,36,2,0
808,13731.00,6,138,6,1
809,5979.92,4,136,4,1
810,7858.69,4,131,4,1
811,279.80,1,20,1,1
812,606.74,1,46,1,0
813,4127.04,3,96,3,1
814,5199.48,2,52,2,1
815,666.77,1,23,1,1
816,1472.00,2,23,2,1
817,5073.00,3,57,3,1
818,1637.37,3,113,3,1
819,9564.75,3,117,3,0
820,1699.00,1,50,1,0
822,10062.50,4,115,4,2
823,3333.85,4,115,4,0
824,5774.23,3,77,3,1
825,6845.00,4,74,4,1
826,2023.08,2,46,2,0
827,923.56,1,44,1,0
828,1388.00,2,16,2,0
829,1395.73,3,127,3,1
830,4094.09,3,91,3,0
831,2495.52,2,48,2,0
832,5250.00,2,75,2,0
833,3351.95,2,61,2,1
834,1574.65,2,35,2,1
835,5625.00,2,45,2,0
837,575.40,1,42,1,1
838,1539.78,2,22,2,1
839,4159.35,1,45,1,0
840,10165.00,3,107,3,1
841,3039.62,2,38,2,1
842,549.78,1,22,1,1
843,898.00,1,40,1,0
844,5298.30,4,105,4,0
845,4459.00,3,91,3,1
846,1536.00,1,32,1,0
847,2787.18,1,41,1,0
848,377.73,1,27,1,0
849,3519.20,3,80,3,0
850,959.70,2,15,2,0
851,2724.54,6,182,6,2
852,1650.00,4,66,4,0
853,3599.52,1,48,1,1
854,4397.05,4,119,4,1
856,539.73,1,27,1,0
858,970.00,1,40,1,0
859,7837.20,4,56,4,1
861,7978.86,4,114,4,2
862,1633.24,1,28,1,1
863,1278.08,2,64,2,0
864,2741.95,3,61,3,2
865,7956.00,5,117,5,1
866,749.70,1,30,1,0
868,2481.24,2,92,2,0
869,10789.91,4,109,4,2
870,1462.23,4,77,4,2
872,11100.00,2,74,2,1
874,3795.00,2,69,2,2
876,6579.06,4,94,4,0
877,10318.71,5,129,5,0
878,2640.00,2,30,2,0
879,2868.36,5,82,5,0
880,419.80,1,10,1,0
882,7980.00,4,84,4,2
883,20313.00,3,122,3,2
884,4178.72,5,164,5,2
885,158.00,1,1,1,1
886,1596.00,2,48,2,0
887,2082.50,1,35,1,1
888,227.94,1,6,1,1
889,2537.53,2,47,2,0
890,2352.00,1,28,1,0
892,28656.00,7,199,7,6
893,1872.59,6,199,6,3
894,1984.50,3,81,3,1
895,1633.50,3,99,3,0
896,2299.08,3,92,3,0
897,3052.50,1,33,1,0
898,2142.00,1,18,1,0
899,8316.00,1,22,1,0
900,171.96,1,4,1,0
902,7326.00,2,74,2,1
903,1039.48,2,52,2,1
905,9487.00,2,53,2,0
906,11781.00,3,119,3,0
907,336.00,2,7,2,0
909,6047.50,2,59,2,0
910,3498.00,1,22,1,0
911,1149.50,3,50,3,2
912,1287.54,3,46,3,0
913,1079.76,1,24,1,0
914,3589.00,5,97,5,1
915,1049.65,1,35,1,1
916,2911.86,3,63,3,1
917,5300.00,3,106,3,1
918,260.71,1,29,1,1
919,15075.00,2,67,2,0
920,1824.00,1,32,1,0
921,647.76,1,24,1,1
922,3001.21,2,79,2,0
923,3303.44,3,56,3,1
924,1471.50,1,27,1,0
925,149.97,1,3,1,0
926,1808.33,2,67,2,0
927,450.00,1,6,1,1
929,5052.50,1,43,1,0
930,1679.58,2,21,2,0
931,15592.50,4,81,4,2
932,639.68,1,32,1,0
933,551.54,1,46,1,0
934,1819.35,3,65,3,1
935,245.59,2,41,2,1
936,2328.70,3,55,3,0
937,2213.18,3,82,3,0
938,2099.58,1,42,1,1
940,3080.66,3,67,3,0
941,3238.92,3,108,3,1
942,5068.70,6,130,6,3
943,199.90,1,10,1,0
944,4986.20,3,107,3,2
945,1803.20,1,40,1,1
946,373.80,2,42,2,1
947,419.30,1,35,1,0
949,11515.00,5,94,5,4
950,7425.00,2,66,2,0
951,1101.93,2,69,2,0
952,5718.70,4,130,4,2
954,1121.66,2,34,2,0
955,2839.29,2,71,2,1
956,1434.59,2,41,2,1
957,335.40,1,26,1,0
958,2399.50,1,50,1,1
959,6072.00,3,69,3,1
960,1758.90,2,55,2,0
961,1649.45,2,55,2,0
962,5329.18,2,82,2,0
963,2578.80,2,60,2,0
964,628.15,1,17,1,1
965,1311.59,3,41,3,0
966,2049.18,3,82,3,0
967,1430.75,2,59,2,1
968,545.79,1,21,1,0
970,363.74,1,26,1,0
971,4893.00,1,42,1,0
972,867.00,4,102,4,1
974,6839.43,2,57,2,0
975,702.88,2,46,2,0
976,417.00,1,6,1,1
977,1304.55,2,45,2,1
979,5067.63,3,137,3,0
980,1889.93,2,49,2,0
981,1361.37,1,23,1,0
982,432.00,2,12,2,1
983,824.67,2,33,2,1
984,1075.69,3,77,3,0
985,2820.93,3,101,3,2
986,1719.60,2,40,2,0
987,1519.24,3,76,3,1
988,2335.27,2,73,2,1
989,8277.70,1,46,1,0
991,4760.00,2,56,2,1
992,1511.52,2,67,2,0
993,1439.28,2,72,2,1
994,2718.64,4,136,4,1
995,4996.81,4,119,4,0
996,8250.00,2,66,2,0
997,455.81,1,19,1,0
998,3750.00,1,50,1,0
999,1919.52,1,48,1,1
1000,2376.00,1,27,1,0
1001,5280.00,4,48,4,2
1003,4359.96,1,44,1,0
1004,2189.27,2,73,2,0
1005,567.00,3,60,3,0
1007,2276.31,3,69,3,1
1009,1528.47,2,51,2,0
1011,4998.00,1,42,1,1
1014,399.95,1,5,1,0
1015,4995.54,4,99,4,2
1016,3194.12,2,47,2,0
1017,2254.59,2,41,2,1
1018,1089.48,2,84,2,1
1020,3447.50,2,70,2,1
1021,5685.06,3,123,3,0
1022,1664.26,2,37,2,1
1023,13018.04,3,133,3,0
1024,6450.00,2,43,2,1
1026,3010.00,2,28,2,0
1027,2079.48,2,52,2,0
1028,4905.00,1,45,1,0
1029,1849.26,3,74,3,0
1030,1618.20,1,36,1,0
1031,265.93,1,7,1,1
1032,8925.00,3,75,3,1
1033,5805.85,3,83,3,1
1034,1173.96,1,36,1,0
1035,3700.00,2,25,2,1
1036,3457.09,2,91,2,2
1037,2970.00,2,30,2,0
1039,1680.00,1,40,1,0
1040,1106.00,1,14,1,0
1041,355.50,1,9,1,0
1042,1894.80,1,24,1,0
1043,702.00,1,9,1,0
1044,5896.00,4,67,4,1
1045,3894.59,1,41,1,0
1046,275.50,1,29,1,1
1047,5908.35,5,105,5,1
1048,208.81,1,19,1,0
1049,3576.00,2,24,2,1
1050,3168.88,2,52,2,0
1051,1407.65,1,47,1,0
1052,43512.00,3,74,3,1
1053,8925.00,2,51,2,0
1054,2261.00,2,38,2,1
1055,6552.00,4,72,4,0
1056,8000.00,5,125,5,3
1057,952.00,1,8,1,0
1058,1159.42,2,58,2,1
1059,1344.00,2,42,2,1
1061,7238.31,3,111,3,0
1062,3154.17,3,47,3,0
1063,1727.68,1,32,1,0
1064,3332.00,1,34,1,1
1065,1516.59,1,41,1,0
1066,4140.00,3,69,3,1
1067,2834.37,2,63,2,0
1068,2513.70,2,45,2,0
1069,1800.00,2,60,2,0
1070,4588.98,3,102,3,0
1071,810.00,1,36,1,0
1072,18304.00,2,64,2,1
1073,3577.50,1,45,1,0
1074,4396.00,4,80,4,2
1077,959.60,1,8,1,0
1078,8127.00,2,43,2,0
1079,1758.90,2,22,2,1
1080,900.00,1,9,1,0
1081,1666.00,1,14,1,0
1082,894.00,2,60,2,0
1084,2449.30,2,70,2,1
1086,11466.00,3,91,3,1
1087,4641.00,2,78,2,1
1088,6540.00,2,60,2,1
1089,3959.67,1,33,1,0
1090,380.12,1,34,1,0
1091,244.95,1,5,1,1
1092,3148.33,2,67,2,1
1094,1918.93,1,29,1,0
1095,236.00,1,4,1,1
1096,357.00,1,6,1,0
1097,99.95,1,1,1,0
1098,3039.24,1,38,1,1
1099,384.00,1,30,1,0
1100,98.00,1,1,1,1
