user_id,total_spent,n_pedidos,n_productos_diferentes,cantidad_total,ticket_medio,n_pedidos_devueltos,cluster
199,2400.00,1,1,40,2400.00,0,0
200,1793.92,1,2,58,1793.92,0,0
204,433.65,1,1,7,433.65,1,1
208,139.93,1,1,7,139.93,0,0
209,2468.70,1,1,26,2468.70,0,0
211,584.61,1,1,39,584.61,0,0
214,2475.00,1,1,25,2475.00,0,0
216,891.75,1,1,15,891.75,0,0
217,325.00,1,1,13,325.00,0,0
220,2720.00,1,1,40,2720.00,0,0
221,1914.49,2,2,36,957.24,0,2
231,2487.64,1,2,79,2487.64,0,0
232,4175.15,2,3,130,2087.58,0,2
234,770.00,1,1,35,770.00,0,0
236,817.59,1,2,29,817.59,0,0
241,3459.94,2,2,32,1729.97,0,2
242,6237.20,1,1,40,6237.20,0,3
244,15.16,1,1,1,15.16,0,0
250,1368.00,1,1,36,1368.00,0,0
253,199.95,1,1,5,199.95,0,0
264,15155.76,1,2,68,15155.76,0,3
269,3116.82,2,2,50,1558.41,0,2
278,118.00,1,1,4,118.00,0,0
279,1294.26,1,1,37,1294.26,0,0
282,4589.00,1,2,54,4589.00,0,0
284,2235.57,1,1,43,2235.57,0,0
290,5074.83,1,2,45,5074.83,0,0
293,1949.86,2,2,47,974.93,0,2
297,3540.00,1,2,53,3540.00,0,0
301,1026.00,1,1,38,1026.00,0,0
305,3012.98,2,2,74,1506.49,0,2
308,504.00,1,1,18,504.00,0,0
315,4030.80,1,2,28,4030.80,1,1
316,6762.82,1,4,138,6762.82,0,3
322,959.52,1,1,48,959.52,0,0
323,4042.00,1,2,39,4042.00,0,0
329,1636.04,2,2,59,818.02,0,2
337,119.95,1,1,1,119.95,0,0
340,445.05,1,1,9,445.05,0,0
352,208.00,1,1,26,208.00,0,0
361,1002.64,1,2,68,1002.64,0,0
365,33.00,1,1,1,33.00,0,0
367,1206.50,1,2,29,1206.50,0,0
372,91.20,1,1,8,91.20,0,0
379,2516.00,1,1,34,2516.00,0,0
381,378.00,1,1,21,378.00,1,1
386,3623.22,1,4,87,3623.22,0,0
392,874.75,1,1,25,874.75,0,0
399,2890.89,1,4,114,2890.89,0,0
401,1439.60,1,1,40,1439.60,0,0
402,5247.05,1,4,118,5247.05,0,0
403,1000.45,1,3,45,1000.45,0,0
405,1337.75,1,3,39,1337.75,0,0
406,1179.36,1,1,28,1179.36,0,0
407,1199.85,1,1,15,1199.85,0,0
409,4790.10,1,2,60,4790.10,0,0
411,73.50,1,1,7,73.50,0,0
412,4114.00,1,2,42,4114.00,0,0
417,6443.98,1,3,96,6443.98,0,3
422,1814.70,1,1,46,1814.70,0,0
424,6591.00,1,1,39,6591.00,0,3
425,1741.66,1,2,82,1741.66,0,0
428,5449.53,1,2,77,5449.53,1,1
430,977.55,1,1,49,977.55,0,0
432,990.00,1,1,5,990.00,0,0
434,360.00,1,1,15,360.00,1,1
435,3918.94,1,1,38,3918.94,0,0
441,212.50,1,1,5,212.50,0,0
443,941.80,1,2,21,941.80,0,0
447,1619.95,2,2,40,809.98,0,2
448,391.34,1,1,34,391.34,0,0
451,686.35,1,2,36,686.35,0,0
455,5195.30,1,4,127,5195.30,0,0
456,4539.76,1,3,59,4539.76,0,0
458,2400.00,1,1,12,2400.00,0,0
462,1705.00,1,2,72,1705.00,0,0
463,1992.26,1,1,46,1992.26,0,0
470,664.97,1,2,32,664.97,0,0
471,4900.00,1,1,50,4900.00,0,0
475,449.88,1,1,6,449.88,1,1
476,177.00,1,1,3,177.00,0,0
482,3268.60,1,2,58,3268.60,0,0
485,540.00,1,1,4,540.00,0,0
487,304.81,1,1,17,304.81,0,0
488,4393.38,1,4,127,4393.38,0,0
490,592.00,1,1,16,592.00,0,0
497,4258.15,1,3,81,4258.15,0,0
502,1461.46,2,2,66,730.73,0,2
503,1777.40,1,2,59,1777.40,0,0
505,10177.94,2,4,112,5088.97,0,2
506,12596.00,1,1,47,12596.00,0,3
516,2034.63,1,1,37,2034.63,0,0
517,12483.53,2,4,136,6241.76,0,3
519,2015.00,1,1,31,2015.00,0,0
522,3317.72,1,2,72,3317.72,0,0
528,9897.80,1,1,44,9897.80,0,3
534,445.50,1,1,9,445.50,0,0
535,48.00,1,1,4,48.00,0,0
538,9247.50,1,1,50,9247.50,0,3
543,390.00,1,1,13,390.00,0,0
545,1160.00,1,1,29,1160.00,0,0
548,712.50,1,1,19,712.50,0,0
554,2012.31,1,2,60,2012.31,0,0
557,1563.54,1,1,46,1563.54,0,0
558,3212.50,1,2,64,3212.50,0,0
564,2435.68,1,2,39,2435.68,0,0
565,1022.00,1,1,28,1022.00,0,0
578,585.00,1,1,9,585.00,0,0
582,264.96,1,1,32,264.96,0,0
583,1049.10,1,1,39,1049.10,0,0
584,2868.10,1,1,43,2868.10,1,1
586,5587.85,1,1,43,5587.85,0,0
588,698.25,1,1,35,698.25,0,0
591,1049.22,1,1,29,1049.22,0,0
592,8444.00,1,2,67,8444.00,0,3
594,198.00,1,1,11,198.00,0,0
595,14769.59,1,4,151,14769.59,0,3
598,2102.50,1,4,61,2102.50,1,1
599,2320.00,1,1,40,2320.00,1,1
601,429.50,1,1,10,429.50,1,1
607,23.85,1,1,3,23.85,0,0
608,612.00,1,1,34,612.00,0,0
611,1864.20,1,2,41,1864.20,0,0
619,1260.00,1,1,9,1260.00,0,0
627,1669.50,1,2,23,1669.50,1,1
628,3912.59,1,2,72,3912.59,0,0
633,272.00,1,1,8,272.00,0,0
643,689.74,2,2,15,344.87,0,2
646,522.90,1,1,21,522.90,1,1
647,759.60,1,1,40,759.60,0,0
651,1199.60,1,1,40,1199.60,0,0
653,1020.00,1,1,12,1020.00,0,0
654,460.00,1,1,20,460.00,0,0
657,5697.00,1,2,81,5697.00,0,3
660,2880.15,1,2,44,2880.15,0,0
661,9235.36,1,2,54,9235.36,1,3
666,4862.00,1,1,17,4862.00,0,0
669,3520.00,1,1,40,3520.00,0,0
676,1871.55,1,1,9,1871.55,0,0
684,1247.61,1,1,39,1247.61,0,0
686,246.00,1,1,12,246.00,0,0
687,1479.90,1,1,10,1479.90,0,0
692,1251.32,1,2,68,1251.32,0,0
693,2315.18,2,3,48,1157.59,0,2
694,1964.66,1,1,23,1964.66,0,0
699,222.00,1,2,8,222.00,0,0
706,418.60,1,1,28,418.60,0,0
713,3266.88,1,3,96,3266.88,1,1
719,2185.59,1,2,91,2185.59,0,0
722,3600.00,1,1,48,3600.00,0,0
725,250.00,1,1,25,250.00,1,1
739,1312.00,1,1,41,1312.00,0,0
749,11500.00,1,1,46,11500.00,0,3
750,596.70,1,1,26,596.70,0,0
754,1232.00,1,1,7,1232.00,0,0
766,12690.00,1,1,47,12690.00,1,3
770,374.75,1,1,25,374.75,0,0
775,2669.65,1,2,83,2669.65,0,0
776,9685.07,1,4,97,9685.07,1,3
779,2582.00,1,2,83,2582.00,0,0
780,23882.00,1,2,32,23882.00,0,3
791,4480.15,1,3,85,4480.15,0,0
796,1811.58,2,2,42,905.79,0,2
800,1343.00,1,1,17,1343.00,0,0
802,379.81,1,1,19,379.81,0,0
805,484.05,1,2,19,484.05,0,0
807,1008.00,1,1,21,1008.00,0,0
810,839.76,1,1,12,839.76,0,0
813,3239.44,2,2,56,1619.72,0,2
820,1509.20,1,1,44,1509.20,0,0
821,825.00,1,1,33,825.00,0,0
823,3136.00,1,1,32,3136.00,0,0
830,1554.00,1,1,21,1554.00,0,0
832,6088.47,2,3,94,3044.24,0,2
843,4341.68,2,2,79,2170.84,0,2
847,4432.16,2,3,103,2216.08,0,2
850,889.35,1,2,33,889.35,0,0
853,385.51,1,2,57,385.51,0,0
856,1496.64,1,1,24,1496.64,0,0
863,1749.65,1,1,35,1749.65,0,0
872,2276.05,1,1,49,2276.05,0,0
874,7207.58,1,2,70,7207.58,0,3
876,3311.94,2,3,86,1655.97,1,1
878,1725.00,1,1,25,1725.00,0,0
879,623.61,1,1,39,623.61,0,0
882,90.00,1,1,9,90.00,0,0
890,1081.08,1,1,22,1081.08,0,0
891,3019.80,1,2,42,3019.80,0,0
892,112.00,1,1,2,112.00,0,0
899,30.00,1,1,2,30.00,2,1
900,4283.64,1,2,45,4283.64,0,0
903,4179.00,1,1,21,4179.00,0,0
904,5897.20,2,6,158,2948.60,0,2
908,2898.50,1,2,70,2898.50,0,0
914,3525.48,1,2,84,3525.48,0,0
915,5752.50,1,1,39,5752.50,0,3
917,858.48,1,1,21,858.48,0,0
923,854.44,1,2,47,854.44,0,0
927,1097.76,1,1,16,1097.76,0,0
934,6311.69,2,2,79,3155.84,0,2
935,1025.00,1,1,41,1025.00,0,0
948,939.53,1,1,47,939.53,1,1
949,2444.95,1,2,35,2444.95,0,0
950,1728.00,1,1,24,1728.00,0,0
955,1469.51,1,1,49,1469.51,0,0
960,439.78,1,1,22,439.78,1,1
969,1602.95,2,2,50,801.48,0,2
971,2588.15,1,1,37,2588.15,0,0
974,1268.53,1,1,47,1268.53,0,0
976,1554.00,1,1,37,1554.00,0,0
978,938.08,1,2,39,938.08,0,0
980,2601.90,1,1,35,2601.90,0,0
984,1240.62,1,1,46,1240.62,0,0
991,2735.55,2,2,69,1367.78,0,2
995,3439.00,1,1,19,3439.00,0,0
1002,2197.69,2,2,29,1098.85,0,2
1003,1536.87,2,2,53,768.44,0,2
1010,560.00,1,1,20,560.00,0,0
1014,1452.00,1,1,44,1452.00,0,0
1016,6262.00,1,4,81,6262.00,0,3
1018,18302.88,2,5,135,9151.44,0,3
1020,16429.62,1,2,87,16429.62,0,3
1024,4867.28,1,4,86,4867.28,0,0
1025,218.25,1,1,15,218.25,0,0
1027,317.70,1,1,6,317.70,0,0
1029,159.50,1,1,29,159.50,0,0
1030,2820.17,3,3,86,940.06,0,2
1037,46.46,1,1,2,46.46,0,0
1039,1039.74,1,1,26,1039.74,1,1
1040,335.58,1,1,14,335.58,0,0
1042,1152.00,1,1,48,1152.00,0,0
1043,238.50,1,1,3,238.50,0,0
1048,7319.89,1,4,77,7319.89,0,3
1053,1329.81,1,1,19,1329.81,0,0
1059,2344.60,1,2,89,2344.60,0,0
1060,395.88,1,1,12,395.88,0,0
1064,1525.11,1,2,74,1525.11,0,0
1068,1274.56,1,2,54,1274.56,0,0
1070,1028.17,1,2,55,1028.17,0,0
1071,160.65,1,1,3,160.65,0,0
1078,558.32,1,1,14,558.32,0,0
1079,1873.75,1,1,25,1873.75,0,0
1084,3190.14,2,3,86,1595.07,0,2
1085,1946.00,1,1,14,1946.00,0,0
1096,406.08,1,1,36,406.08,0,0
1099,5500.00,1,1,44,5500.00,0,0
1102,3822.00,1,1,49,3822.00,0,0
1106,2820.00,1,1,15,2820.00,0,0
1119,269.55,1,1,9,269.55,0,0
1124,696.00,1,1,8,696.00,0,0
1128,7216.00,1,2,31,7216.00,0,3
1129,223.92,1,1,8,223.92,0,0
1131,5249.50,1,3,99,5249.50,0,0
1137,2123.26,2,2,22,1061.63,0,2
1140,1520.71,2,2,38,760.35,0,2
1148,127.68,1,1,32,127.68,0,0
1161,16632.61,3,5,154,5544.20,0,2
1167,4104.36,2,3,86,2052.18,0,2
1171,9475.00,1,3,109,9475.00,0,3
1173,1000.00,1,1,25,1000.00,0,0
1182,3240.00,1,1,24,3240.00,0,0
1184,2778.48,1,2,65,2778.48,0,0
1189,740.90,1,1,31,740.90,0,0
1191,1081.15,1,1,35,1081.15,0,0
1193,1950.00,1,1,26,1950.00,0,0
1195,311.92,1,1,8,311.92,0,0
1197,1340.49,1,2,39,1340.49,0,0
1201,756.20,1,1,38,756.20,0,0
1202,10105.11,2,5,120,5052.55,0,2
1206,3174.73,1,2,77,3174.73,0,0
1210,43457.95,3,4,116,14485.98,0,3
1212,2212.15,1,3,80,2212.15,0,0
1213,3011.97,1,3,68,3011.97,0,0
1215,1876.00,1,2,45,1876.00,0,0
1222,4255.00,1,1,37,4255.00,0,0
1224,4785.84,2,2,53,2392.92,0,2
1226,13136.86,2,3,31,6568.43,0,3
1227,12.00,1,1,1,12.00,0,0
1235,1259.72,1,2,48,1259.72,1,1
1242,8883.81,1,4,131,8883.81,0,3
1243,750.00,1,1,15,750.00,0,0
1244,979.72,1,1,14,979.72,0,0
1248,3109.00,1,2,27,3109.00,0,0
1255,135.00,1,1,3,135.00,0,0
1260,2527.52,1,2,28,2527.52,0,0
1261,149.94,1,1,6,149.94,0,0
1264,765.00,1,2,33,765.00,0,0
1266,4218.90,1,1,41,4218.90,0,0
1272,1582.73,2,3,65,791.37,0,2
1276,9150.68,1,4,155,9150.68,0,3
1299,1263.60,1,2,33,1263.60,0,0
1308,1377.70,1,1,46,1377.70,0,0
1316,2289.00,1,1,21,2289.00,0,0
1317,2578.48,1,2,16,2578.48,0,0
1329,2673.00,1,2,46,2673.00,0,0
1331,639.68,1,1,32,639.68,0,0
1336,14728.00,2,5,185,7364.00,0,3
1338,559.00,1,1,43,559.00,0,0
1343,988.00,1,1,38,988.00,0,0
1346,319.92,1,1,8,319.92,0,0
1351,565.50,1,1,29,565.50,1,1
1352,2581.50,1,2,30,2581.50,0,0
1361,2062.55,1,2,59,2062.55,1,1
1373,3181.75,1,4,89,3181.75,0,0
1375,4757.50,1,2,75,4757.50,0,0
1378,2136.00,1,1,12,2136.00,0,0
1381,4086.43,1,4,103,4086.43,0,0
1383,1867.50,2,2,100,933.75,0,2
1384,600.00,1,1,15,600.00,0,0
1385,190.00,1,1,10,190.00,0,0
1386,959.68,1,1,32,959.68,0,0
1387,2199.56,1,1,44,2199.56,0,0
1388,1016.40,1,1,30,1016.40,0,0
1390,338.35,1,2,40,338.35,0,0
1392,322.81,1,1,19,322.81,0,0
1395,720.90,1,2,24,720.90,0,0
1397,4864.00,1,1,38,4864.00,0,0
1415,437.94,1,1,6,437.94,0,0
1416,1979.67,1,1,33,1979.67,0,0
1419,2552.00,1,1,29,2552.00,0,0
1422,9569.44,1,4,99,9569.44,0,3
1425,9006.80,1,1,23,9006.80,0,3
1427,2447.04,2,2,42,1223.52,0,2
1431,1388.45,1,2,60,1388.45,0,0
1434,8684.19,1,2,63,8684.19,0,3
1436,2984.00,1,2,86,2984.00,0,0
1439,1143.80,1,2,29,1143.80,0,0
1449,1899.81,1,1,19,1899.81,0,0
1461,833.23,1,2,59,833.23,0,0
1462,589.00,1,1,19,589.00,1,1
1464,11.99,1,1,1,11.99,0,0
1468,39.09,1,1,3,39.09,0,0
1471,31671.59,2,3,116,15835.79,0,3
1472,1704.30,1,2,39,1704.30,0,0
1473,4492.75,1,3,105,4492.75,0,0
1484,779.61,1,1,39,779.61,0,0
1489,3750.00,2,2,76,1875.00,0,2
1495,6952.73,1,3,74,6952.73,0,3
1498,1148.36,1,2,33,1148.36,0,0
1501,1464.90,1,2,72,1464.90,0,0
1502,1385.10,1,2,22,1385.10,0,0
1503,1195.71,1,2,45,1195.71,0,0
1511,1442.48,1,1,38,1442.48,1,1
1515,5763.34,2,3,99,2881.67,0,2
1522,6261.20,2,2,54,3130.60,1,1
1523,726.96,1,3,24,726.96,0,0
1525,559.80,1,2,24,559.80,0,0
1526,4899.79,1,4,152,4899.79,0,0
1529,37023.00,1,1,41,37023.00,0,3
1540,863.64,1,1,36,863.64,0,0
1547,1201.05,1,1,45,1201.05,1,1
1557,499.00,1,1,20,499.00,0,0
1563,1329.12,1,1,24,1329.12,0,0
1574,1148.85,1,1,23,1148.85,0,0
1577,3853.45,1,2,59,3853.45,0,0
1580,80.91,1,1,9,80.91,1,1
1582,863.52,1,1,48,863.52,0,0
1585,2054.25,1,2,57,2054.25,0,0
1586,1782.00,1,1,36,1782.00,0,0
1591,3613.70,1,3,83,3613.70,0,0
1595,1422.67,1,4,72,1422.67,0,0
1600,1025.00,1,1,41,1025.00,0,0
1602,3549.50,1,2,92,3549.50,0,0
1603,1202.58,1,1,17,1202.58,0,0
1604,4873.00,1,2,75,4873.00,0,0
1606,1984.00,1,1,31,1984.00,0,0
1609,6586.37,2,3,37,3293.19,0,2
1610,5769.24,1,2,72,5769.24,0,3
1621,11040.00,1,1,30,11040.00,0,3
1622,2937.90,1,1,42,2937.90,0,0
1624,2897.00,2,2,73,1448.50,0,2
1626,1699.65,1,1,27,1699.65,0,0
1627,1456.00,1,1,26,1456.00,0,0
1628,1337.29,1,2,43,1337.29,0,0
1629,5346.00,1,2,82,5346.00,0,0
1631,2019.97,2,3,60,1009.98,0,2
1634,20.00,1,1,2,20.00,0,0
1637,597.78,1,2,31,597.78,0,0
1639,1260.00,1,1,18,1260.00,0,0
1641,2560.00,1,1,40,2560.00,0,0
1644,828.00,1,1,18,828.00,0,0
1650,2788.82,1,3,62,2788.82,0,0
1652,10054.77,2,4,84,5027.39,0,2
1654,26.97,1,1,3,26.97,0,0
1658,1092.00,1,1,26,1092.00,0,0
1660,2297.70,1,1,46,2297.70,1,1
1666,59.60,1,1,4,59.60,0,0
1668,2034.00,1,2,30,2034.00,0,0
1671,5035.32,1,2,64,5035.32,0,0
1673,1355.92,1,2,26,1355.92,0,0
1674,1170.82,1,2,60,1170.82,0,0
1676,5176.09,2,3,79,2588.04,0,2
1677,1357.00,1,1,46,1357.00,0,0
1679,68.00,1,1,1,68.00,0,0
1683,10011.93,2,2,49,5005.96,1,1
1686,6295.60,2,3,96,3147.80,0,2
1692,702.00,1,1,30,702.00,0,0
1703,308.00,1,1,11,308.00,0,0
1704,897.00,1,1,23,897.00,0,0
1708,2863.94,1,2,67,2863.94,0,0
1709,492.80,1,1,44,492.80,0,0
1711,378.80,1,1,40,378.80,0,0
1714,809.87,1,3,36,809.87,0,0
1715,1467.99,1,2,49,1467.99,0,0
1717,3344.00,1,1,38,3344.00,0,0
1720,2108.76,1,4,144,2108.76,0,0
1725,713.36,1,2,41,713.36,1,1
1726,295.63,1,1,37,295.63,0,0
1727,8217.50,1,2,67,8217.50,0,3
1728,2639.56,1,1,44,2639.56,0,0
1732,1452.36,2,3,64,726.18,0,2
1739,637.13,1,1,29,637.13,0,0
1741,5450.46,1,2,66,5450.46,0,0
1742,2760.00,1,1,40,2760.00,0,0
1744,949.62,1,1,38,949.62,0,0
1749,553.00,1,1,7,553.00,0,0
1754,1348.65,1,1,27,1348.65,0,0
1756,1930.46,1,3,94,1930.46,0,0
1759,2711.22,1,2,55,2711.22,0,0
1762,3319.05,1,3,99,3319.05,0,0
1765,4904.88,1,4,126,4904.88,0,0
1766,4118.19,1,3,89,4118.19,0,0
1769,379.50,1,1,10,379.50,0,0
1770,1732.32,1,2,61,1732.32,0,0
1779,2502.00,1,1,36,2502.00,0,0
1783,655.59,1,1,41,655.59,0,0
1786,3663.00,1,1,37,3663.00,0,0
1788,57.95,1,1,1,57.95,1,1
1796,275.40,1,1,12,275.40,0,0
1799,4582.00,1,1,29,4582.00,0,0
1816,336.94,1,2,19,336.94,0,0
1817,4738.66,1,2,80,4738.66,1,1
1818,1188.00,1,1,24,1188.00,0,0
1823,203.15,1,1,17,203.15,0,0
1824,399.50,1,1,10,399.50,0,0
1826,474.00,1,2,9,474.00,0,0
1827,1330.00,1,1,38,1330.00,0,0
1832,5999.60,1,1,40,5999.60,0,3
1835,37034.58,2,3,99,18517.29,0,3
1842,1175.04,1,1,24,1175.04,0,0
1845,1659.00,1,1,21,1659.00,0,0
1846,750.00,1,1,25,750.00,0,0
1856,4210.56,1,4,145,4210.56,0,0
1857,3651.94,2,3,106,1825.97,0,2
1860,1093.19,1,3,39,1093.19,0,0
1865,2439.50,1,1,41,2439.50,0,0
1867,1625.58,2,3,63,812.79,0,2
1868,6860.00,1,1,49,6860.00,0,3
1869,3274.05,1,3,80,3274.05,0,0
1870,1927.32,1,3,70,1927.32,0,0
1872,4988.21,1,4,82,4988.21,0,0
1881,3400.00,1,1,50,3400.00,0,0
1882,6194.00,1,3,116,6194.00,0,3
1883,873.60,1,1,32,873.60,0,0
1884,2568.00,1,2,54,2568.00,0,0
1900,1022.69,1,1,31,1022.69,0,0
1901,339.66,1,1,9,339.66,0,0
1903,2079.00,1,1,21,2079.00,0,0
1905,1439.64,1,1,36,1439.64,0,0
1908,4181.64,1,2,66,4181.64,0,0
1910,351.50,1,1,37,351.50,0,0
1912,449.85,1,1,15,449.85,0,0
1919,739.63,1,1,37,739.63,0,0
1922,98.00,1,1,2,98.00,0,0
1926,4244.62,1,4,116,4244.62,0,0
1927,180.00,1,1,10,180.00,0,0
1928,5146.56,1,2,54,5146.56,0,0
1929,512.43,1,1,19,512.43,0,0
1930,1172.21,1,2,43,1172.21,0,0
1940,4987.96,1,2,51,4987.96,1,1
1942,1600.20,2,2,49,800.10,0,2
1946,18398.05,1,3,81,18398.05,0,3
1952,1679.72,1,1,28,1679.72,0,0
1954,1599.00,1,1,39,1599.00,0,0
1956,6511.78,1,2,66,6511.78,0,3
1959,5779.16,1,3,44,5779.16,0,3
1960,2638.46,2,2,66,1319.23,1,1
1964,359.64,1,1,36,359.64,0,0
1968,347.06,1,1,37,347.06,0,0
1970,2422.69,1,1,19,2422.69,0,0
1971,3461.61,1,2,49,3461.61,0,0
1974,2394.75,1,2,31,2394.75,0,0
1979,1898.85,1,2,62,1898.85,0,0
1980,7439.51,1,4,107,7439.51,0,3
1984,299.80,1,1,20,299.80,0,0
1992,5439.87,1,2,54,5439.87,0,0
1993,180.00,1,1,9,180.00,0,0
1995,168.00,1,1,16,168.00,0,0
2001,2343.50,1,1,43,2343.50,0,0
2002,510.00,1,2,17,510.00,0,0
2006,1262.70,1,1,23,1262.70,0,0
2008,689.77,1,1,23,689.77,0,0
2009,2667.00,1,2,27,2667.00,0,0
2012,349.95,1,1,5,349.95,1,1
2015,100.00,1,1,4,100.00,0,0
2019,637.78,1,1,22,637.78,0,0
2020,197.50,1,1,5,197.50,0,0
2023,7239.94,1,4,136,7239.94,0,3
2031,1744.00,1,1,8,1744.00,1,1
2032,4783.38,1,2,71,4783.38,0,0
2035,499.75,1,1,25,499.75,0,0
2044,2336.60,1,2,51,2336.60,0,0
2047,246.45,1,1,31,246.45,0,0
2048,628.40,2,2,17,314.20,0,2
2049,2056.60,1,2,58,2056.60,0,0
2058,3149.00,1,3,74,3149.00,1,1
2063,59.50,1,1,17,59.50,0,0
2065,719.64,1,1,18,719.64,0,0
2068,10620.00,1,1,36,10620.00,0,3
2071,49.95,1,1,5,49.95,0,0
2074,999.75,1,1,25,999.75,0,0
2078,297.85,1,1,23,297.85,0,0
2080,175.60,1,1,8,175.60,0,0
2081,5429.65,2,4,115,2714.83,0,2
2101,418.08,1,1,39,418.08,1,1
2105,524.79,1,1,21,524.79,0,0
2107,243.24,1,1,6,243.24,0,0
2110,1100.00,1,1,44,1100.00,0,0
2115,1550.00,1,1,31,1550.00,0,0
2117,129.87,1,1,13,129.87,0,0
2120,4206.25,1,4,65,4206.25,0,0
2126,1960.00,1,1,49,1960.00,0,0
2127,673.20,1,1,17,673.20,0,0
2128,499.75,1,1,25,499.75,0,0
2129,2255.10,1,2,21,2255.10,0,0
2130,608.00,1,1,38,608.00,0,0
2134,239.70,1,1,30,239.70,0,0
2135,1919.68,1,1,32,1919.68,0,0
2138,279.80,1,1,20,279.80,0,0
2144,5880.00,1,1,49,5880.00,0,3
2146,3299.56,1,1,44,3299.56,1,1
2147,1706.80,2,2,57,853.40,0,2
2149,9964.52,2,4,109,4982.26,0,2
2162,2399.20,1,1,16,2399.20,0,0
2174,898.26,1,2,31,898.26,0,0
2176,5688.45,2,2,75,2844.22,0,2
2186,4004.00,1,2,26,4004.00,0,0
2197,4155.59,1,3,72,4155.59,2,1
2198,2889.66,1,1,34,2889.66,0,0
2199,1709.12,1,1,49,1709.12,0,0
2208,1792.00,1,1,28,1792.00,0,0
2209,87.50,1,1,5,87.50,0,0
2210,2819.56,1,2,71,2819.56,0,0
2214,804.00,1,1,48,804.00,0,0
2215,2159.64,1,1,36,2159.64,0,0
2217,3818.37,2,4,70,1909.19,0,2
2221,145.20,1,1,8,145.20,0,0
2228,378.00,1,1,7,378.00,0,0
2229,2100.00,1,1,28,2100.00,0,0
2231,33.90,1,1,2,33.90,0,0
2234,1799.30,1,2,24,1799.30,0,0
2241,3730.65,2,6,111,1865.33,1,1
2243,2183.77,2,4,60,1091.88,0,2
2244,1302.00,1,1,31,1302.00,0,0
2246,2159.76,1,1,24,2159.76,0,0
2247,3549.00,1,2,79,3549.00,0,0
2250,3346.00,1,1,28,3346.00,1,1
2251,5239.84,1,2,66,5239.84,0,0
2252,73.97,1,1,1,73.97,0,0
2254,1449.00,1,1,21,1449.00,0,0
2255,1140.00,1,1,19,1140.00,0,0
2258,224.75,1,1,25,224.75,0,0
2259,273.00,1,1,21,273.00,0,0
2262,2992.00,1,1,44,2992.00,0,0
2268,700.00,1,1,20,700.00,0,0
2269,3839.52,1,1,48,3839.52,1,1
2278,879.78,1,1,22,879.78,0,0
2281,2558.50,1,1,43,2558.50,0,0
2282,659.67,1,1,33,659.67,0,0
2284,2753.12,1,2,63,2753.12,0,0
2285,2407.57,1,1,43,2407.57,0,0
2286,1980.00,1,1,45,1980.00,0,0
2289,749.70,1,1,30,749.70,0,0
2301,1000.00,1,1,40,1000.00,0,0
2303,5799.50,1,2,77,5799.50,2,1
2308,39.98,1,1,2,39.98,0,0
2309,749.85,1,1,15,749.85,0,0
2310,8296.97,2,3,103,4148.49,0,2
2311,1736.26,2,3,58,868.13,1,1
2313,7619.60,1,4,156,7619.60,1,1
2318,2352.77,1,3,104,2352.77,0,0
2321,1760.00,1,1,32,1760.00,0,0
2324,925.00,1,1,37,925.00,0,0
2328,320.96,1,1,34,320.96,0,0
2331,1232.00,1,1,44,1232.00,0,0
2332,1450.81,1,2,53,1450.81,0,0
2333,253.30,1,1,17,253.30,0,0
2339,2894.40,1,1,48,2894.40,0,0
2341,789.64,1,1,38,789.64,0,0
